exam_id,user_id,task_ind,answer,verdict,time
1,98,1,1,OK,2023-12-15 10-22-51
1,98,2,0,WA,2023-12-15 11-16-21
1,98,3,1,OK,2023-12-15 11-28-44
1,98,4,0,WA,2023-12-15 11-54-32
1,98,5,0,WA,2023-12-15 12-30-11
1,98,6,1,WA,2023-12-15 13-44-22
1,98,7,3,WA,2023-12-15 13-44-25
1,98,8,0,WA,2023-12-15 13-57-14
1,98,9,0,WA,2023-12-15 14-02-11
1,98,10,3,WA,2023-12-15 14-19-18
1,98,11,2,WA,2023-12-15 14-31-36
1,98,12,0,WA,2023-12-15 14-43-29
1,98,13,3,WA,2023-12-15 14-43-37
1,98,14,2,WA,2023-12-15 15-03-08
1,98,15,3,WA,2023-12-15 15-55-17
1,98,16,3,WA,2023-12-15 15-57-25
1,49,1,1,OK,2023-12-15 10-52-48
1,49,2,0,WA,2023-12-15 10-53-01
1,49,3,2,WA,2023-12-15 10-53-10
1,49,4,3,OK,2023-12-15 10-54-03
1,49,5,0,WA,2023-12-15 10-54-21
1,49,6,1,WA,2023-12-15 10-54-31
1,49,7,1,WA,2023-12-15 10-54-38
1,49,8,3,WA,2023-12-15 10-55-07
1,49,9,1,OK,2023-12-15 10-55-17
1,49,10,0,WA,2023-12-15 10-55-22
1,49,11,2,WA,2023-12-15 10-57-28
1,49,12,2,WA,2023-12-15 10-57-52
1,49,13,0,WA,2023-12-15 10-58-47
1,49,14,3,WA,2023-12-15 10-59-23
1,49,15,3,WA,2023-12-15 10-59-28
1,49,16,3,WA,2023-12-15 10-59-50
1,94,1,1,OK,2023-12-15 10-06-50
1,94,2,0,WA,2023-12-15 10-06-53
1,94,3,2,WA,2023-12-15 10-07-53
1,94,4,2,WA,2023-12-15 10-08-03
1,94,5,0,WA,2023-12-15 10-09-05
1,94,6,3,WA,2023-12-15 10-09-31
1,94,7,3,WA,2023-12-15 10-09-49
1,94,8,0,WA,2023-12-15 10-10-38
1,94,9,1,OK,2023-12-15 10-10-43
1,94,10,0,WA,2023-12-15 10-11-14
1,94,11,2,WA,2023-12-15 10-12-00
1,94,12,0,WA,2023-12-15 10-12-03
1,94,13,1,WA,2023-12-15 10-12-11
1,94,14,0,OK,2023-12-15 10-13-13
1,94,15,1,WA,2023-12-15 10-13-54
1,94,16,3,WA,2023-12-15 10-14-04
1,118,1,1,OK,2023-12-15 10-10-38
1,118,2,2,OK,2023-12-15 10-20-19
1,118,3,0,WA,2023-12-15 10-54-45
1,118,4,0,WA,2023-12-15 11-32-02
1,118,5,3,WA,2023-12-15 11-32-47
1,118,6,1,WA,2023-12-15 11-50-37
1,118,7,3,WA,2023-12-15 12-46-43
1,118,8,0,WA,2023-12-15 13-22-16
1,118,9,0,WA,2023-12-15 14-09-29
1,118,10,0,WA,2023-12-15 14-13-56
1,118,11,2,WA,2023-12-15 14-21-21
1,118,12,2,WA,2023-12-15 14-23-55
1,118,13,1,WA,2023-12-15 14-25-27
1,118,14,1,WA,2023-12-15 14-28-41
1,118,15,3,WA,2023-12-15 14-50-12
1,118,16,2,WA,2023-12-15 15-00-56
1,34,1,0,WA,2023-12-15 11-21-17
1,34,2,0,WA,2023-12-15 11-21-26
1,34,3,0,WA,2023-12-15 11-21-43
1,34,4,3,OK,2023-12-15 11-22-24
1,34,5,0,WA,2023-12-15 11-22-44
1,34,6,3,WA,2023-12-15 11-23-47
1,34,7,1,WA,2023-12-15 11-24-35
1,34,8,3,WA,2023-12-15 11-25-12
1,34,9,1,OK,2023-12-15 11-25-35
1,34,10,2,OK,2023-12-15 11-25-37
1,34,11,2,WA,2023-12-15 11-25-44
1,34,12,0,WA,2023-12-15 11-25-53
1,34,13,0,WA,2023-12-15 11-26-05
1,34,14,3,WA,2023-12-15 11-26-06
1,34,15,3,WA,2023-12-15 11-26-25
1,34,16,3,WA,2023-12-15 11-27-25
1,140,1,0,WA,2023-12-15 10-23-46
1,140,2,0,WA,2023-12-15 10-23-56
1,140,3,2,WA,2023-12-15 10-24-14
1,140,4,0,WA,2023-12-15 10-24-44
1,140,5,0,WA,2023-12-15 10-25-27
1,140,6,2,WA,2023-12-15 10-25-43
1,140,7,3,WA,2023-12-15 10-27-28
1,140,8,3,WA,2023-12-15 10-27-29
1,140,9,0,WA,2023-12-15 10-27-29
1,140,10,3,WA,2023-12-15 10-28-05
1,140,11,0,WA,2023-12-15 10-28-37
1,140,12,3,OK,2023-12-15 10-29-19
1,140,13,0,WA,2023-12-15 10-29-40
1,140,14,3,WA,2023-12-15 10-29-52
1,140,15,2,WA,2023-12-15 10-29-56
1,140,16,3,WA,2023-12-15 10-30-00
1,124,1,0,WA,2023-12-15 11-50-54
1,124,2,0,WA,2023-12-15 11-51-52
1,124,3,0,WA,2023-12-15 11-52-34
1,124,4,3,OK,2023-12-15 11-52-36
1,124,5,0,WA,2023-12-15 11-52-37
1,124,6,3,WA,2023-12-15 11-53-01
1,124,7,3,WA,2023-12-15 11-54-40
1,124,8,3,WA,2023-12-15 11-55-07
1,124,9,1,OK,2023-12-15 11-55-23
1,124,10,0,WA,2023-12-15 11-55-26
1,124,11,2,WA,2023-12-15 11-55-30
1,124,12,3,OK,2023-12-15 11-55-47
1,124,13,0,WA,2023-12-15 11-56-46
1,124,14,1,WA,2023-12-15 11-57-03
1,124,15,3,WA,2023-12-15 11-57-14
1,124,16,3,WA,2023-12-15 11-57-29
1,114,1,1,OK,2023-12-15 10-15-57
1,114,2,0,WA,2023-12-15 10-24-50
1,114,3,1,OK,2023-12-15 10-26-25
1,114,4,3,OK,2023-12-15 10-42-35
1,114,5,0,WA,2023-12-15 10-45-13
1,114,6,0,OK,2023-12-15 11-33-14
1,114,7,3,WA,2023-12-15 11-55-40
1,114,8,3,WA,2023-12-15 12-00-03
1,114,9,3,WA,2023-12-15 12-13-37
1,114,10,0,WA,2023-12-15 12-27-03
1,114,11,2,WA,2023-12-15 13-07-33
1,114,12,0,WA,2023-12-15 13-15-27
1,114,13,0,WA,2023-12-15 13-26-06
1,114,14,1,WA,2023-12-15 13-30-21
1,114,15,3,WA,2023-12-15 13-36-30
1,114,16,3,WA,2023-12-15 14-11-01
1,5,1,0,WA,2023-12-15 10-11-00
1,5,2,0,WA,2023-12-15 10-26-05
1,5,3,2,WA,2023-12-15 10-39-33
1,5,4,0,WA,2023-12-15 11-05-47
1,5,5,3,WA,2023-12-15 11-23-06
1,5,6,3,WA,2023-12-15 11-45-04
1,5,7,3,WA,2023-12-15 11-45-29
1,5,8,2,WA,2023-12-15 11-59-34
1,5,9,1,OK,2023-12-15 12-28-37
1,5,10,0,WA,2023-12-15 12-40-43
1,5,11,2,WA,2023-12-15 12-41-34
1,5,12,0,WA,2023-12-15 13-02-26
1,5,13,3,WA,2023-12-15 13-10-52
1,5,14,1,WA,2023-12-15 13-12-25
1,5,15,3,WA,2023-12-15 13-31-23
1,5,16,3,WA,2023-12-15 13-36-10
1,64,1,0,WA,2023-12-15 10-02-39
1,64,2,3,WA,2023-12-15 10-19-11
1,64,3,2,WA,2023-12-15 10-21-03
1,64,4,3,OK,2023-12-15 10-39-27
1,64,5,0,WA,2023-12-15 11-11-28
1,64,6,3,WA,2023-12-15 11-11-49
1,64,7,3,WA,2023-12-15 11-20-02
1,64,8,3,WA,2023-12-15 11-20-51
1,64,9,0,WA,2023-12-15 11-28-22
1,64,10,3,WA,2023-12-15 11-49-10
1,64,11,2,WA,2023-12-15 12-03-19
1,64,12,0,WA,2023-12-15 12-03-26
1,64,13,3,WA,2023-12-15 12-14-06
1,64,14,1,WA,2023-12-15 12-18-21
1,64,15,3,WA,2023-12-15 12-42-31
1,64,16,3,WA,2023-12-15 12-45-30
1,92,1,0,WA,2023-12-15 11-47-06
1,92,2,0,WA,2023-12-15 11-47-16
1,92,3,2,WA,2023-12-15 11-47-21
1,92,4,0,WA,2023-12-15 11-47-25
1,92,5,0,WA,2023-12-15 11-47-45
1,92,6,1,WA,2023-12-15 11-48-33
1,92,7,0,OK,2023-12-15 11-49-07
1,92,8,3,WA,2023-12-15 11-49-07
1,92,9,1,OK,2023-12-15 11-49-56
1,92,10,0,WA,2023-12-15 11-50-26
1,92,11,0,WA,2023-12-15 11-51-34
1,92,12,2,WA,2023-12-15 11-51-41
1,92,13,3,WA,2023-12-15 11-51-52
1,92,14,1,WA,2023-12-15 11-52-56
1,92,15,3,WA,2023-12-15 11-53-02
1,92,16,3,WA,2023-12-15 11-53-04
1,12,1,2,WA,2023-12-15 10-08-45
1,12,2,3,WA,2023-12-15 10-12-07
1,12,3,0,WA,2023-12-15 10-52-36
1,12,4,0,WA,2023-12-15 10-59-01
1,12,5,0,WA,2023-12-15 11-17-15
1,12,6,1,WA,2023-12-15 11-21-52
1,12,7,3,WA,2023-12-15 11-33-25
1,12,8,3,WA,2023-12-15 12-05-21
1,12,9,0,WA,2023-12-15 12-22-33
1,12,10,0,WA,2023-12-15 12-23-34
1,12,11,2,WA,2023-12-15 12-28-07
1,12,12,3,OK,2023-12-15 12-43-35
1,12,13,0,WA,2023-12-15 12-55-16
1,12,14,2,WA,2023-12-15 12-56-43
1,12,15,3,WA,2023-12-15 13-12-24
1,12,16,1,OK,2023-12-15 13-12-58
1,120,1,0,WA,2023-12-15 12-33-39
1,120,2,0,WA,2023-12-15 12-34-59
1,120,3,3,WA,2023-12-15 12-35-06
1,120,4,2,WA,2023-12-15 12-36-36
1,120,5,0,WA,2023-12-15 12-36-55
1,120,6,3,WA,2023-12-15 12-37-29
1,120,7,3,WA,2023-12-15 12-37-44
1,120,8,3,WA,2023-12-15 12-38-25
1,120,9,0,WA,2023-12-15 12-39-46
1,120,10,0,WA,2023-12-15 12-40-11
1,120,11,2,WA,2023-12-15 12-41-09
1,120,12,0,WA,2023-12-15 12-41-15
1,120,13,3,WA,2023-12-15 12-41-43
1,120,14,2,WA,2023-12-15 12-42-59
